NAME                                                                         VERSION                                            TYPE      
github.com/openshift/client-go                                               v0.0.0-20220525160904-9e1acff93e4a                 go-module  
github.com/pelletier/go-toml                                                 v1.3.0                                             go-module  
github.com/peterbourgon/diskv                                                v2.0.1+incompatible                                go-module  
github.com/pierrec/lz4                                                       v2.2.7+incompatible                                go-module  
github.com/pierrec/lz4/v4                                                    v4.1.17                                            go-module  
github.com/pkg/errors                                                        v0.9.1                                             go-module  
github.com/pmezard/go-difflib                                                v1.0.0                                             go-module  
github.com/prometheus/client_golang                                          v1.1.0                                             go-module  
github.com/prometheus/client_golang                                          v1.14.0                                            go-module  
github.com/prometheus/client_model                                           v0.2.0                                             go-module  
github.com/prometheus/client_model                                           v0.3.0                                             go-module  
github.com/prometheus/common                                                 v0.37.0                                            go-module  
github.com/prometheus/common                                                 v0.42.0                                            go-module  
github.com/prometheus/common                                                 v0.6.0                                             go-module  
github.com/prometheus/procfs                                                 v0.0.8                                             go-module  
github.com/prometheus/procfs                                                 v0.8.0                                             go-module  
github.com/prometheus/procfs                                                 v0.9.0                                             go-module  
github.com/rcrowley/go-metrics                                               v0.0.0-20201227073835-cf1acfcdf475                 go-module  
github.com/russross/blackfriday/v2                                           v2.0.1                                             go-module  
github.com/russross/blackfriday/v2                                           v2.1.0                                             go-module  
github.com/ryanuber/go-glob                                                  v1.0.0                                             go-module  
github.com/shurcooL/sanitized_anchor_name                                    v1.0.0                                             go-module  
github.com/sirupsen/logrus                                                   v1.9.0                                             go-module  
github.com/spaolacci/murmur3                                                 v0.0.0-20180118202830-f09979ecbc72                 go-module  
github.com/spf13/afero                                                       v1.2.2                                             go-module  
github.com/spf13/cast                                                        v1.3.1                                             go-module  
github.com/spf13/cobra                                                       v1.0.0                                             go-module  
github.com/spf13/cobra                                                       v1.6.0                                             go-module  
github.com/spf13/cobra                                                       v1.7.0                                             go-module  
github.com/spf13/jwalterweatherman                                           v1.1.0                                             go-module  
github.com/spf13/pflag                                                       v1.0.5                                             go-module  
github.com/stoewer/go-strcase                                                v1.3.0                                             go-module  
github.com/ulikunitz/xz                                                      v0.5.6                                             go-module  
github.com/xeipuuv/gojsonpointer                                             v0.0.0-20190905194746-02993c407bfb                 go-module  
github.com/xeipuuv/gojsonreference                                           v0.0.0-20180127040603-bd5ef7bd5415                 go-module  
github.com/xeipuuv/gojsonschema                                              v1.1.0                                             go-module  
github.com/xi2/xz                                                            v0.0.0-20171230120015-48954b6210f8                 go-module  
github.com/xlab/treeprint                                                    v1.1.0                                             go-module  
github.com/yl2chen/cidranger                                                 v0.0.0-20180214081945-928b519e5268                 go-module  
github.com/yl2chen/cidranger                                                 v1.0.2                                             go-module  
go.etcd.io/etcd/api/v3                                                       v3.5.7                                             go-module  
go.etcd.io/etcd/client/pkg/v3                                                v3.5.7                                             go-module  
go.etcd.io/etcd/client/v3                                                    v3.5.7                                             go-module  
go.opencensus.io                                                             v0.22.2                                            go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc  v0.35.0                                            go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                v0.35.1                                            go-module  
go.opentelemetry.io/otel                                                     v1.10.0                                            go-module  
