NAME                                              VERSION                                   TYPE      
ptyprocess                                        0.7.0                                     python     
publicsuffix-list-dafsa                           20180723-1.el8                            rpm        
pyOpenSSL                                         23.2.0                                    python     
pyasn1                                            0.5.0                                     python     
pyasn1-modules                                    0.3.0                                     python     
pycparser                                         2.21                                      python     
pyinotify                                         0.9.6                                     python     
python-daemon                                     3.0.1                                     python     
python-dateutil                                   2.6.1                                     python     
python-dateutil                                   2.8.2                                     python     
python-dmidecode                                  3.12.2                                    python     
python3-chardet                                   3.0.4-7.el8                               rpm        
python3-cloud-what                                1.28.36-2.el8                             rpm        
python3-dateutil                                  1:2.6.1-6.el8                             rpm        
python3-dbus                                      1.2.4-15.el8                              rpm        
python3-decorator                                 4.2.1-2.el8                               rpm        
python3-dmidecode                                 3.12.3-2.el8                              rpm        
python3-dnf                                       4.7.0-16.el8_8                            rpm        
python3-dnf-plugins-core                          4.0.21-19.el8_8                           rpm        
python3-ethtool                                   0.14-5.el8                                rpm        
python3-gobject-base                              3.28.3-2.el8                              rpm        
python3-gpg                                       1.13.1-11.el8                             rpm        
python3-hawkey                                    0.63.0-14.el8_8                           rpm        
python3-idna                                      2.5-5.el8                                 rpm        
python3-iniparse                                  0.4-31.el8                                rpm        
python3-inotify                                   0.9.6-13.el8                              rpm        
python3-libcomps                                  0.1.18-1.el8                              rpm        
python3-libdnf                                    0.63.0-14.el8_8                           rpm        
python3-librepo                                   1.14.2-4.el8                              rpm        
python3-libs                                      3.6.8-51.el8_8.1                          rpm        
python3-libxml2                                   2.9.7-16.el8                              rpm        
python3-pip-wheel                                 9.0.3-22.el8                              rpm        
python3-pysocks                                   1.6.8-3.el8                               rpm        
python3-requests                                  2.20.0-2.1.el8_1                          rpm        
python3-rpm                                       4.14.3-26.el8                             rpm        
python3-setuptools-wheel                          39.2.0-7.el8                              rpm        
python3-six                                       1.11.0-8.el8                              rpm        
python3-subscription-manager-rhsm                 1.28.36-2.el8                             rpm        
python3-syspurpose                                1.28.36-2.el8                             rpm        
python3-systemd                                   234-8.el8                                 rpm        
python3-urllib3                                   1.24.2-5.el8                              rpm        
